Время посещения,Время измерения,Вход со стороны Иорданской лестницы,Вход со стороны Церковной лестницы,Вход со стороны Шуваловского проезда,Входной билет в Главный Штаб
2025-05-08 14:30:00,2025-05-07 12:15:20,66,58,42,73
2025-05-08 15:00:00,2025-05-07 12:15:20,0,55,37,67
2025-05-08 15:30:00,2025-05-07 12:15:20,70,60,50,69
2025-05-08 16:00:00,2025-05-07 12:15:20,63,49,30,52
2025-05-08 11:00:00,2025-05-07 12:15:25,36,48,30,67
2025-05-08 11:30:00,2025-05-07 12:15:25,75,48,38,75
2025-05-08 12:00:00,2025-05-07 12:15:25,72,52,30,64
2025-05-08 12:30:00,2025-05-07 12:15:25,76,45,48,68
2025-05-08 13:00:00,2025-05-07 12:15:25,67,54,38,75
2025-05-08 13:30:00,2025-05-07 12:15:25,87,57,46,76
2025-05-08 14:00:00,2025-05-07 12:15:25,68,51,39,65
2025-05-08 14:30:00,2025-05-07 12:15:25,66,58,42,73
2025-05-08 15:00:00,2025-05-07 12:15:25,0,55,37,67
2025-05-08 15:30:00,2025-05-07 12:15:25,70,60,50,69
2025-05-08 16:00:00,2025-05-07 12:15:25,63,49,30,52
2025-05-08 11:00:00,2025-05-07 12:15:30,36,48,30,67
2025-05-08 11:30:00,2025-05-07 12:15:30,75,48,38,75
2025-05-08 12:00:00,2025-05-07 12:15:30,72,52,30,64
2025-05-08 12:30:00,2025-05-07 12:15:30,76,45,48,68
2025-05-08 13:00:00,2025-05-07 12:15:30,67,54,38,75
2025-05-08 13:30:00,2025-05-07 12:15:30,87,57,46,76
2025-05-08 14:00:00,2025-05-07 12:15:30,68,51,39,65
2025-05-08 14:30:00,2025-05-07 12:15:30,66,58,42,73
2025-05-08 15:00:00,2025-05-07 12:15:30,0,55,37,67
2025-05-08 15:30:00,2025-05-07 12:15:30,69,60,50,69
2025-05-08 16:00:00,2025-05-07 12:15:30,60,49,30,52
2025-05-08 11:00:00,2025-05-07 12:15:35,33,48,30,67
2025-05-08 11:30:00,2025-05-07 12:15:35,73,48,38,75
2025-05-08 12:00:00,2025-05-07 12:15:35,72,52,30,64
2025-05-08 12:30:00,2025-05-07 12:15:35,76,45,48,68
2025-05-08 13:00:00,2025-05-07 12:15:35,67,54,38,75
2025-05-08 13:30:00,2025-05-07 12:15:35,87,57,46,76
2025-05-08 14:00:00,2025-05-07 12:15:35,68,51,39,65
2025-05-08 14:30:00,2025-05-07 12:15:35,61,57,42,73
2025-05-08 15:00:00,2025-05-07 12:15:35,0,55,37,67
2025-05-08 15:30:00,2025-05-07 12:15:35,69,60,50,66
2025-05-08 16:00:00,2025-05-07 12:15:35,60,49,30,52
2025-05-08 11:00:00,2025-05-07 12:15:40,33,48,28,67
2025-05-08 11:30:00,2025-05-07 12:15:40,73,48,38,75
2025-05-08 12:00:00,2025-05-07 12:15:40,72,52,30,64
2025-05-08 12:30:00,2025-05-07 12:15:40,76,45,48,68
2025-05-08 13:00:00,2025-05-07 12:15:40,67,54,38,75
2025-05-08 13:30:00,2025-05-07 12:15:40,87,57,46,76
2025-05-08 14:00:00,2025-05-07 12:15:40,68,51,39,65
2025-05-08 14:30:00,2025-05-07 12:15:40,61,57,42,73
2025-05-08 15:00:00,2025-05-07 12:15:40,0,55,37,67
2025-05-08 15:30:00,2025-05-07 12:15:40,69,60,50,66
2025-05-08 16:00:00,2025-05-07 12:15:40,60,49,30,52
2025-05-08 11:00:00,2025-05-07 12:15:45,33,48,28,66
2025-05-08 11:30:00,2025-05-07 12:15:45,73,48,38,75
2025-05-08 12:00:00,2025-05-07 12:15:45,72,50,30,64
2025-05-08 12:30:00,2025-05-07 12:15:45,76,42,48,68
2025-05-08 13:00:00,2025-05-07 12:15:45,67,54,38,75
2025-05-08 13:30:00,2025-05-07 12:15:45,87,57,46,76
